gold_disease_id,gold_disease_name,predicted_disease_id,predicted_disease_name,ontology_relation,confusion_count,average_gold_rank,average_score_gap,average_top1_gold_jaccard,average_gold_query_ic,average_top1_query_ic
MONDO:0010986,autosomal recessive nonsyndromic hearing loss 9,MONDO:0014675,autosomal recessive nonsyndromic hearing loss 104,same_parent,1,2.0,0.03312772512435913,0.7777777777777778,0.6655513140571898,0.3825353925340264
MONDO:0011216,hemochromatosis type 2A,MONDO:0021001,hemochromatosis type 1,shared_ancestor,1,2.0,0.021308422088623158,0.4,0.5864625308745957,0.4406959687043866
MONDO:0011752,nephronophthisis 4,MONDO:0011456,nephronophthisis 3,same_parent,1,2.0,0.002625882625579834,0.5,0.8448687105540563,0.7272780924188167
MONDO:0011855,granular corneal dystrophy type II,MONDO:0007377,granular corneal dystrophy type I,same_parent,1,2.0,0.006187438964843639,0.46153846153846156,0.4814886995741284,0.0
MONDO:0012084,aromatic L-amino acid decarboxylase deficiency,MONDO:0009863,BH4-deficient hyperphenylalaninemia A,shared_ancestor,1,2.0,0.0268365740776062,0.23529411764705882,0.4462446944568817,0.2979616554113033
MONDO:0012183,"melanoma, cutaneous malignant, susceptibility to, 3",MONDO:0007964,"melanoma, cutaneous malignant, susceptibility to, 2",same_parent,1,2.0,0.0,1.0,1.0,1.0
MONDO:0012184,Pierson syndrome,MONDO:0009732,"congenital nephrotic syndrome, Finnish type",shared_ancestor,1,2.0,0.03992730379104614,0.0,0.6397487636240184,0.0
MONDO:0012471,Aicardi-Goutieres syndrome 3,MONDO:0012472,Aicardi-Goutieres syndrome 4,same_parent,1,2.0,0.0034064054489135742,0.28125,0.6438854059205249,0.6438854059205249
MONDO:0012669,Legius syndrome,MONDO:0018208,neurofibromatosis type 1 due to NF1 mutation or intragenic deletion,shared_ancestor,1,2.0,0.005304574966430664,0.1414141414141414,0.4293223715091122,0.4051134536482634
MONDO:0012676,autosomal recessive osteopetrosis 4,MONDO:0014040,autosomal recessive osteopetrosis 8,same_parent,1,2.0,0.0042195916175842285,0.3333333333333333,0.6505943802863736,0.3810169713292136
MONDO:0012734,SERKAL syndrome,MONDO:0060764,tetraamelia syndrome 1,shared_ancestor,1,2.0,0.1777719259262085,0.08333333333333333,0.3199381409010134,0.3756412043179836
MONDO:0012750,lethal arthrogryposis-anterior horn cell disease syndrome,MONDO:0014569,lethal congenital contracture syndrome 7,shared_ancestor,1,2.0,0.00440824031829834,0.11764705882352941,0.6337047956202061,0.2146070206709678
MONDO:0013049,DPM3-congenital disorder of glycosylation,MONDO:0013390,autosomal recessive limb-girdle muscular dystrophy type 2Q,shared_ancestor,1,2.0,0.005503594875335693,0.058823529411764705,0.3756531231201054,0.081504186671151
MONDO:0013271,frontonasal dysplasia - severe microphthalmia - severe facial clefting syndrome,MONDO:0007636,frontorhiny,same_parent,1,2.0,0.17253363132476807,0.32653061224489793,0.4484668432268477,0.3260764254788458
MONDO:0013499,Fanconi anemia complementation group P,MONDO:0013566,Fanconi anemia complementation group L,same_parent,1,2.0,0.010147333145141602,0.12,0.7935510174743908,0.1950695056549841
MONDO:0013722,hypomyelinating leukodystrophy 8 with or without oligodontia and-or hypogonadotropic hypogonadism,MONDO:0018656,tremor-ataxia-central hypomyelination syndrome,shared_ancestor,1,2.0,0.08649462461471558,0.3050847457627119,0.4292279899356598,0.6276233822324438
MONDO:0013807,congenital stationary night blindness 1E,MONDO:0008099,congenital stationary night blindness autosomal dominant 2,same_parent,1,2.0,0.0019936561584473766,0.4166666666666667,0.4764452524670767,1.0
MONDO:0013827,hyperekplexia 3,MONDO:0007868,hyperekplexia 1,same_parent,1,2.0,0.16673529148101807,0.18181818181818182,0.239608174702462,0.6418466278719049
MONDO:0013849,"microcephaly 8, primary, autosomal recessive",MONDO:0011435,"microcephaly 2, primary, autosomal recessive, with or without cortical malformations",same_parent,1,2.0,0.04678499698638916,0.07142857142857142,0.400499855795266,0.2703099225331467
MONDO:0014030,primary ciliary dyskinesia 20,MONDO:0014211,primary ciliary dyskinesia 26,same_parent,1,2.0,0.0035836100578308105,0.2857142857142857,0.8507562439296691,0.6739147730470872
MONDO:0014139,"Ehlers-Danlos syndrome, spondylodysplastic type, 2",MONDO:0010075,"spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures",same_parent,1,2.0,0.04887962341308594,0.2777777777777778,0.8498969536698124,0.7170510447326487
MONDO:0014653,retinitis pigmentosa 72,MONDO:0013175,retinitis pigmentosa 50,same_parent,1,2.0,0.008708178997039795,0.35714285714285715,0.7247723211065291,0.1286794351206417
MONDO:0014706,"cutis laxa, autosomal dominant 3",MONDO:0013751,"cutis laxa, autosomal dominant 2",same_parent,1,2.0,0.02084726095199596,0.1282051282051282,0.917173426007058,0.1258950087279912
MONDO:0015002,"developmental and epileptic encephalopathy, 49",MONDO:0014392,"developmental and epileptic encephalopathy, 25",shared_ancestor,1,2.0,0.012342393398284912,0.11320754716981132,0.4929973864574546,0.4929973864574546
MONDO:0017226,Pelizaeus-Merzbacher-like disease,MONDO:0009843,hypomyelinating leukodystrophy 3,candidate_descendant_of_gold,1,2.0,0.07820391654968262,0.3787878787878788,0.6832116380418244,0.6832116380418244
MONDO:0017726,"Tay-Sachs disease, B variant, adult form",MONDO:0010099,Tay-Sachs disease AB variant,shared_ancestor,1,2.0,0.030964255332946777,0.15555555555555556,0.6756385053894082,0.6670096647203898
MONDO:0018464,severe phosphoribosylpyrophosphate synthetase superactivity,MONDO:0018463,mild phosphoribosylpyrophosphate synthetase superactivity,same_parent,1,2.0,0.005407452583312988,0.5,0.7386025719831251,0.4943272521166368
MONDO:0018651,obsolete lipoyl transferase 2 deficiency,MONDO:0060562,"encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities",unrelated_or_unknown,1,2.0,0.0018848180770874023,0.7941176470588235,0.1818239025188236,0.1818239025188236
MONDO:0018822,global developmental delay-visual anomalies-progressive cerebellar atrophy-truncal hypotonia syndrome,MONDO:0014811,"cerebellar atrophy, visual impairment, and psychomotor retardation;",shared_ancestor,1,2.0,0.018363654613494873,0.5,0.527892748903358,0.7116385476988816
MONDO:0019569,Cockayne syndrome type 1,MONDO:0019570,Cockayne syndrome type 2,same_parent,1,2.0,0.02782803773880005,0.45588235294117646,0.2338737823461722,0.1463159982891566
MONDO:0020066,Ehlers-Danlos syndrome,MONDO:0019567,"Ehlers-Danlos syndrome, classic type, 1",candidate_descendant_of_gold,1,2.0,0.0752393603324889,0.17142857142857143,0.091970985120644,0.6126372309298829
MONDO:0027407,Kleefstra syndrome 1,MONDO:0012455,Kleefstra syndrome,candidate_ancestor_of_gold,1,2.0,0.001534104347229004,0.2773109243697479,0.8378642831528368,0.5071430255885431
MONDO:0035524,blepharophimosis-ptosis-epicanthus inversus syndrome type 1,MONDO:0007201,"blepharophimosis, ptosis, and epicanthus inversus syndrome",candidate_ancestor_of_gold,1,2.0,0.0018496513366699219,0.9285714285714286,0.8490787506555436,0.764274276634044
MONDO:0044315,craniosynostosis 7,MONDO:0014705,craniosynostosis 6,unrelated_or_unknown,1,2.0,0.00038444995880126953,0.2222222222222222,1.0,1.0
MONDO:0054782,"leukodystrophy, hypomyelinating, 15",MONDO:0017226,Pelizaeus-Merzbacher-like disease,same_parent,1,2.0,0.06202203035354614,0.17857142857142858,0.4604022227587504,1.0
MONDO:0060631,Alkuraya-Kucinskas syndrome,MONDO:0009364,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1",shared_ancestor,1,2.0,0.020472407341003418,0.13829787234042554,0.4590175341372997,0.4288038539298011
MONDO:0850095,X-linked severe syndromic thoracic aortic aneurysm and dissection,MONDO:0010515,Meester-Loeys syndrome,shared_ancestor,1,2.0,0.0,1.0,0.5916894404889333,0.5916894404889333
MONDO:0859578,lacrimoauriculodentodigital syndrome 3,MONDO:0100302,LADD syndrome 1,same_parent,1,2.0,0.05294346809387207,0.16363636363636364,0.1402635700105685,0.9612200253333296
MONDO:0001029,Klippel-Feil syndrome,MONDO:0008958,"Klippel-Feil syndrome 2, autosomal recessive",candidate_descendant_of_gold,1,3.0,0.1772443652153014,0.1794871794871795,0.4055935866943078,0.2414893329443661
MONDO:0007064,"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",MONDO:0009451,Nezelof syndrome,shared_ancestor,1,3.0,0.03785717487335205,0.11475409836065574,0.1778802603947485,0.255801931873063
MONDO:0007168,atelosteogenesis type III,MONDO:0009727,atelosteogenesis type II,same_parent,1,3.0,0.10223513841629028,0.05194805194805195,0.1355030384537403,0.2851794647495398
MONDO:0007397,"craniometaphyseal dysplasia, autosomal dominant",MONDO:0009035,"craniometaphyseal dysplasia, autosomal recessive",same_parent,1,3.0,0.2702493667602539,0.23214285714285715,0.6198542078553204,0.4993659690839218
MONDO:0007810,autosomal dominant ichthyosis vulgaris,MONDO:0007812,"ichthyosis, lamellar, autosomal dominant",shared_ancestor,1,3.0,0.013776600360870361,0.2,0.3536636464278123,0.1762556019349652
MONDO:0008082,multiple endocrine neoplasia type 2B,MONDO:0008234,multiple endocrine neoplasia type 2A,same_parent,1,3.0,0.03712129592895497,0.11627906976744186,0.86357559113802,0.2259840491280253
MONDO:0008377,retinitis pigmentosa 1,MONDO:0019200,retinitis pigmentosa,candidate_ancestor_of_gold,1,3.0,0.006998121738433949,0.1388888888888889,0.5522701632944942,0.1726197158750385
MONDO:0008662,autosomal dominant vitreoretinochoroidopathy,MONDO:0004580,retinal degeneration,shared_ancestor,1,3.0,0.014824271202087402,0.136986301369863,0.5588883026949264,0.4645154115748415
MONDO:0008675,Freeman-Sheldon syndrome,MONDO:0014556,"congenital contractures of the limbs and face, hypotonia, and developmental delay",shared_ancestor,1,3.0,0.04678690433502197,0.11764705882352941,0.2181747445424175,0.3429462304036676
MONDO:0009052,"cutis laxa, autosomal recessive, type 1A",MONDO:0013170,"cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies",shared_ancestor,1,3.0,0.008344769477844238,0.13333333333333333,0.3640815083298354,0.105559375112846
MONDO:0009291,glycogen storage disease III,MONDO:0012545,neutral lipid storage myopathy,shared_ancestor,1,3.0,0.007903695106506348,0.09302325581395349,0.1310311772391998,0.2152605164678873
MONDO:0009393,ornithine translocase deficiency,MONDO:0008814,arginase deficiency,same_parent,1,3.0,0.013974726200103649,0.13513513513513514,0.8207772086852311,0.1664279000529671
MONDO:0009580,"intellectual disability, autosomal recessive 1",MONDO:0008341,ptosis-strabismus-ectopic pupils syndrome,shared_ancestor,1,3.0,0.06522619724273682,0.38461538461538464,0.6660435996631734,0.2911072457425082
MONDO:0010176,orofaciodigital syndrome type 6,MONDO:0009436,congenital hypothalamic hamartoma syndrome,shared_ancestor,1,3.0,0.06738543510437012,0.05128205128205128,0.5538423112246404,0.1210560943610355
MONDO:0010371,Aland island eye disease,MONDO:0012490,"cone-rod synaptic disorder, congenital nonprogressive",shared_ancestor,1,3.0,0.03262597322463989,0.14285714285714285,0.2494608569296182,0.1098886553671586
MONDO:0010690,congenital stationary night blindness 1A,MONDO:0008099,congenital stationary night blindness autosomal dominant 2,shared_ancestor,1,3.0,0.010182797908782959,0.8333333333333334,0.7822125625858355,0.7822125625858355
MONDO:0010860,autosomal recessive nonsyndromic hearing loss 3,MONDO:0033665,"hearing loss, autosomal dominant 78",shared_ancestor,1,3.0,0.05002021789550781,0.875,0.4448260965083392,0.4448260965083392
MONDO:0010953,Fanconi anemia complementation group E,MONDO:0009215,Fanconi anemia complementation group A,same_parent,1,3.0,0.008556425571441761,0.8333333333333334,0.9046453454769608,0.9461433455448336
MONDO:0012177,posterior column ataxia-retinitis pigmentosa syndrome,MONDO:0019200,retinitis pigmentosa,shared_ancestor,1,3.0,0.021593093872070312,0.03333333333333333,0.2283164776861701,0.0976951304753444
MONDO:0013337,"neuropathy, hereditary sensory and autonomic, type 1C",MONDO:0008087,hereditary neuropathy with liability to pressure palsies,shared_ancestor,1,3.0,0.06485104560852051,0.06060606060606061,0.5665623404792084,0.0932374189029035
MONDO:0013495,autosomal recessive congenital ichthyosis 8,MONDO:0010391,"angioma serpiginosum, X-linked",shared_ancestor,1,3.0,0.0027838945388792835,0.2222222222222222,0.333157036309462,0.333157036309462
MONDO:0013757,congenital nongoitrous hypothyroidism 6,MONDO:0016413,congenital hypothyroidism due to maternal intake of antithyroid drugs,shared_ancestor,1,3.0,0.07462954521179199,0.09302325581395349,0.8459858734215174,0.3080770857552625
MONDO:0013940,primary ciliary dyskinesia 18,MONDO:0014211,primary ciliary dyskinesia 26,same_parent,1,3.0,0.007961869239807129,0.5789473684210527,0.6093796143073029,0.4613757925950878
MONDO:0014439,Bardet-Biedl syndrome 11,MONDO:0008854,Bardet-Biedl syndrome 1,same_parent,1,3.0,0.015368759632110596,0.140625,0.1046616252377542,0.8875768203024286
MONDO:0016828,autosomal recessive sideroblastic anemia,MONDO:0016363,obsolete rare hereditary hemochromatosis,unrelated_or_unknown,1,3.0,0.012685894966125488,0.21052631578947367,0.2419028122393633,0.2419028122393633
MONDO:0018865,striate palmoplantar keratoderma,MONDO:0014272,"palmoplantar keratoderma, Nagashima type",shared_ancestor,1,3.0,0.01697605848312378,0.3333333333333333,0.2188749880375214,0.3427139544475877
MONDO:0019766,"X-linked intellectual disability, Porteous type",MONDO:0012373,"ectodermal dysplasia, sensorineural hearing loss, and distinctive facial features",shared_ancestor,1,3.0,0.013987421989440918,0.08823529411764706,0.1577641516602908,0.1256497007954804
MONDO:0020365,congenital hereditary endothelial dystrophy type I,MONDO:0013206,"corneal dystrophy, Fuchs endothelial, 6",shared_ancestor,1,3.0,0.017164289951324463,0.10526315789473684,0.5628974771664056,0.4371025228335944
MONDO:0020712,"46,XY sex reversal 1",MONDO:0013120,"46,XY sex reversal 5",same_parent,1,3.0,0.02237647771835327,0.4444444444444444,1.0,0.4128956877419883
MONDO:0031213,restrictive dermopathy,MONDO:0030781,restrictive dermopathy 2,candidate_descendant_of_gold,1,3.0,0.13546353578567505,0.0273972602739726,0.4999093242008879,0.0658604042393531
MONDO:0060510,Cohen-Gibson syndrome,MONDO:0032916,Imagawa-Matsumoto syndrome,same_parent,1,3.0,0.09373044967651367,0.2909090909090909,1.0,1.0
MONDO:0100025,epilepsy of infancy with migrating focal seizures,MONDO:0020310,familial focal epilepsy with variable foci,shared_ancestor,1,3.0,0.03883558511734009,0.10869565217391304,0.0,0.6927407603967567
MONDO:0100436,"cataract 2, multiple types",MONDO:0012688,cataract 17 multiple types,shared_ancestor,1,3.0,0.03812903165817283,0.45454545454545453,0.3736460429897181,0.4701044253420016
MONDO:0850059,hereditary persistence of fetal hemoglobin-intellectual disability syndrome,MONDO:0016672,hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,same_parent,1,3.0,0.03589886426925659,0.023809523809523808,0.4741161809841003,0.2280607292157878
MONDO:0850087,primary hypomagnesemia-generalized seizures-intellectual disability-obesity syndrome,MONDO:0013480,renal hypomagnesemia 6,shared_ancestor,1,3.0,0.029568076133728027,0.13333333333333333,0.5987015597627292,0.4471683486847573
MONDO:0957811,"Alport syndrome 3b, autosomal recessive",MONDO:0007086,autosomal dominant Alport syndrome,same_parent,1,3.0,0.09101104736328125,0.3181818181818182,0.1752677839993008,0.7964534914154044
MONDO:0008278,juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,MONDO:0044300,familial adenomatous polyposis 4,shared_ancestor,1,4.0,0.02468162775039673,0.037037037037037035,0.2075903158995647,0.1207370815060109
MONDO:0008800,microphthalmia with limb anomalies,MONDO:0012980,endocrine-cerebro-osteodysplasia syndrome,shared_ancestor,1,4.0,0.057564377784729004,0.04807692307692308,0.5638170244658506,0.1114866995304215
MONDO:0009258,classic galactosemia,MONDO:0009257,galactose epimerase deficiency,same_parent,1,4.0,0.05169886350631714,0.08064516129032258,0.2235448787459291,0.1622461483869648
MONDO:0009401,hyperprolinemia type 2,MONDO:0009448,iminoglycinuria,shared_ancestor,1,4.0,0.20158028602600087,0.07547169811320754,0.6153388182098147,0.6926037203242332
MONDO:0009475,isovaleric acidemia,MONDO:0008760,beta-ketothiolase deficiency,same_parent,1,4.0,0.1661454439163208,0.14516129032258066,0.2868272198843821,0.3557056895588816
MONDO:0009658,mucopolysaccharidosis type 3D,MONDO:0009656,mucopolysaccharidosis type 3B,same_parent,1,4.0,0.10136103630065929,0.273972602739726,0.8670215075254777,0.5311724987133717
MONDO:0010818,retinitis pigmentosa 12,MONDO:0019200,retinitis pigmentosa,candidate_ancestor_of_gold,1,4.0,0.019461512565612904,0.17142857142857143,0.3289077047865396,0.3713091847091778
MONDO:0010895,ABCD syndrome,MONDO:0012698,Waardenburg syndrome type 2E,shared_ancestor,1,4.0,0.021491527557373047,0.09090909090909091,0.5893508789643154,0.1297685709865117
MONDO:0011022,Potocki-Shaffer syndrome,MONDO:0008994,"cleidocranial dysplasia, recessive form",shared_ancestor,1,4.0,0.08214002847671509,0.037037037037037035,0.3093627932527306,0.0352370324347425
MONDO:0012701,cataract 12 multiple types,MONDO:0007284,cataract 20 multiple types,shared_ancestor,1,4.0,0.014617562294006348,0.25,0.180004882046197,0.2222824582494656
MONDO:0013590,"Stickler syndrome, type 4",MONDO:0016647,obsolete autosomal recessive Stickler syndrome,unrelated_or_unknown,1,4.0,0.10783672332763672,0.2558139534883721,0.2969753100397618,0.4035182463959265
MONDO:0014083,"agammaglobulinemia 7, autosomal recessive",MONDO:0014865,autosomal recessive severe congenital neutropenia due to CSF3R deficiency,shared_ancestor,1,4.0,0.07535195350646973,0.3333333333333333,0.4442199926775459,0.2478008609580921
MONDO:0014702,autosomal recessive complex spastic paraplegia type 9B,MONDO:0014302,hereditary spastic paraplegia 62,shared_ancestor,1,4.0,0.04777783155441284,0.17073170731707318,0.342240713555684,0.2171334406812441
MONDO:0018315,X-linked osteoporosis with fractures,MONDO:0019409,idiopathic juvenile osteoporosis,same_parent,1,4.0,0.04086875915527344,0.3,0.3286773013591355,0.5579044334182973
MONDO:0019141,porokeratosis of Mibelli,MONDO:0013868,"porokeratosis 7, multiple types",shared_ancestor,1,4.0,0.023729026317596436,0.5,0.1927135822048601,0.3661659639222921
MONDO:0024519,renal hypodysplasia/aplasia 1,MONDO:0018470,renal agenesis,candidate_ancestor_of_gold,1,4.0,0.09928709268569946,0.2916666666666667,0.7126830569955364,0.3179604046513496
MONDO:0032835,"spondyloepiphyseal dysplasia, nishimura type",MONDO:0009785,opsismodysplasia,shared_ancestor,1,4.0,0.14789903163909912,0.08571428571428572,0.3431929159487721,0.0895540261059361
MONDO:0054765,"amyloidosis, primary localized cutaneous, 3",MONDO:0017906,amyloidosis cutis dyschromia,shared_ancestor,1,4.0,0.02429783344268799,0.8333333333333334,0.6178898021056958,0.6178898021056958
MONDO:8000011,"visceral neuropathy, familial, 1, autosomal recessive",MONDO:0018309,Hirschsprung disease,shared_ancestor,1,4.0,0.038820743560791016,0.022727272727272728,1.0,0.4326631505135516
MONDO:0005835,Lynch syndrome,MONDO:0013196,Lynch syndrome 8,candidate_descendant_of_gold,1,5.0,0.010853230953216553,0.0625,0.2373181480269406,0.1166688747941951
MONDO:0007540,multiple endocrine neoplasia type 1,MONDO:0019955,GRFoma,shared_ancestor,1,5.0,0.022168993949890137,0.13131313131313133,0.5386675881481291,0.3140108623523308
MONDO:0007813,superficial epidermolytic ichthyosis,MONDO:0008218,Hailey-Hailey disease,shared_ancestor,1,5.0,0.07406139373779297,0.18181818181818182,0.0,0.0
MONDO:0008368,autosomal dominant distal renal tubular acidosis,MONDO:0009967,renal tubular acidosis 3,shared_ancestor,1,5.0,0.10749560594558716,0.3076923076923077,0.3834851195273167,0.3258391837883178
MONDO:0009213,Fanconi anemia complementation group C,MONDO:0009215,Fanconi anemia complementation group A,same_parent,1,5.0,0.05019712448120117,0.627906976744186,0.7929730210141259,0.8984618117117266
MONDO:0009262,GM1 gangliosidosis type 3,MONDO:0009660,mucopolysaccharidosis type 4B,shared_ancestor,1,5.0,0.2378808856010436,0.09836065573770492,0.1796758294885057,0.4418636633190963
MONDO:0011435,"microcephaly 2, primary, autosomal recessive, with or without cortical malformations",MONDO:0011830,lissencephaly due to LIS1 mutation,shared_ancestor,1,5.0,0.046477317810058594,0.05,0.8075560585253049,0.1095979099164083
MONDO:0012144,Waardenburg syndrome type 2D,MONDO:0018094,Waardenburg syndrome,candidate_ancestor_of_gold,1,5.0,0.025058448314666748,0.29411764705882354,0.1934143442332253,0.5417403262874603
MONDO:0012277,myofibrillar myopathy 4,MONDO:0012215,myofibrillar myopathy 3,same_parent,1,5.0,0.039485394954681396,0.2127659574468085,0.6307948454784206,0.5016125740640861
MONDO:0012593,brain-lung-thyroid syndrome,MONDO:0010142,hypothyroidism due to TSH receptor mutations,shared_ancestor,1,5.0,0.052446186542510986,0.03529411764705882,0.4770649726448097,0.2246214441322666
MONDO:0012656,lethal congenital contracture syndrome 3,MONDO:0100104,fetal akinesia deformation sequence 4,shared_ancestor,1,5.0,0.035304248332977295,0.25,0.4190578793031329,0.2894060802716983
MONDO:0012847,autosomal recessive congenital ichthyosis 6,MONDO:0014010,autosomal recessive congenital ichthyosis 9,same_parent,1,5.0,0.010745644569396973,0.4666666666666667,0.6358105122091989,0.4574017820258288
